,ride.alc.driver,female,grade,age4,smoke,DriverLicense,In_Month
96,0,1,12,18,1,1,56642
97,1,1,12,18,1,1,60150
98,0,1,12,18,1,1,54445
99,1,1,12,17,1,1,64445
100,0,1,12,18,0,1,57189
101,0,1,12,17,1,1,63218
102,0,1,12,18,0,1,55794
103,1,1,12,18,0,1,56957
104,0,1,12,18,1,1,57081
105,0,0,12,17,1,1,61111
106,0,1,12,17,0,1,67938
107,0,1,12,17,0,1,66029
108,0,0,12,17,0,1,83088
109,0,1,10,16,0,1,81363
110,0,1,10,15,1,0,93940
111,1,1,10,16,1,1,91738
112,1,1,11,16,1,1,98273
113,0,1,11,17,1,1,101302
114,0,1,11,17,1,1,113812
115,1,1,11,16,0,1,109431
116,0,1,11,16,1,1,105582
117,1,NA,10,17,0,1,NA
118,1,1,10,16,1,1,112635
119,1,1,10,16,0,1,122391
120,1,1,11,17,0,1,121872
121,0,1,10,16,1,1,39343
122,1,0,10,15,1,0,46205
123,0,1,10,15,0,0,37731
124,0,0,10,15,1,0,43525
125,1,1,10,16,0,1,39891
126,1,1,10,15,1,0,56642
127,0,1,10,16,1,1,60150
128,0,1,10,15,1,0,54445
129,0,1,10,16,0,1,64445
130,0,1,10,16,1,1,57189
131,0,1,9,15,1,0,63218
132,1,0,9,14,0,0,55794
133,0,0,9,15,0,0,56957
134,0,1,9,14,1,0,57081
135,0,0,9,15,1,0,61111
136,1,1,9,14,0,0,67938
137,1,1,9,15,1,0,66029
138,1,1,9,15,0,0,83088
139,1,0,9,15,1,0,81363
140,1,1,9,15,0,0,93940
141,0,0,9,14,0,0,91738
142,0,1,9,15,1,0,98273
143,0,1,9,15,1,0,101302
144,1,0,9,14,1,0,113812
145,0,1,9,15,1,0,109431
146,1,0,9,15,0,0,105582
147,1,1,9,15,1,0,116969
148,0,0,9,15,0,0,112635
149,0,0,9,15,1,0,122391
150,0,1,11,16,0,1,121872
151,0,1,10,15,0,0,39343
152,0,1,12,18,0,1,46205
153,0,1,12,18,1,1,37731
154,0,1,12,18,1,1,43525
155,1,0,12,18,1,1,39891
156,1,1,9,14,1,0,56642
157,1,1,12,17,0,1,60150
158,0,1,12,18,0,1,54445
159,1,1,12,18,0,1,64445
160,0,1,12,18,0,1,57189
161,0,1,12,18,0,1,63218
162,1,1,12,18,0,1,55794
163,0,0,10,16,0,1,56957
164,0,1,11,17,1,1,57081
165,0,1,11,17,1,1,61111
166,0,1,11,17,NA,1,NA
167,0,1,11,16,1,1,66029
168,0,1,11,17,1,1,83088
169,1,1,11,16,1,1,81363
170,0,1,11,17,0,1,93940
171,0,1,11,17,0,1,91738
172,0,1,11,17,0,1,98273
173,0,1,11,17,0,1,101302
174,0,1,12,18,1,1,113812
175,1,1,12,17,NA,1,NA
176,0,1,12,18,0,1,105582
177,0,0,12,17,1,1,116969
178,1,NA,12,18,0,1,112635
179,0,1,12,18,0,1,122391
180,0,1,12,18,0,1,121872
181,0,1,10,16,1,1,39343
182,1,1,11,17,1,1,46205
183,0,1,10,17,1,1,37731
184,0,1,10,15,0,0,43525
185,1,1,10,16,1,1,39891
186,0,1,10,15,1,0,56642
187,1,1,10,16,1,1,60150
188,0,1,10,15,0,0,54445
189,0,1,10,15,1,0,64445
190,1,1,10,16,0,1,57189
191,0,0,10,15,0,0,63218
192,0,1,10,16,0,1,55794
193,1,1,10,16,1,1,56957
194,0,1,10,16,1,1,57081
195,0,0,11,17,0,1,61111
196,1,1,11,17,1,1,67938
197,0,1,11,17,1,1,66029
198,0,1,11,17,0,1,83088
199,0,0,11,17,0,1,81363
200,0,1,11,17,1,1,93940
201,0,1,11,17,1,1,91738
202,0,1,11,17,1,1,98273
203,1,1,11,17,1,1,101302
204,0,1,11,16,1,1,113812
205,1,1,11,17,0,1,109431
206,0,1,11,17,1,1,105582
207,1,1,11,16,0,1,116969
208,0,1,11,17,0,1,112635
209,1,1,11,17,0,1,122391
210,1,1,11,17,0,1,121872
211,1,1,10,16,1,1,39343
212,0,1,10,16,0,1,46205
213,0,1,11,16,1,1,37731
214,0,1,11,16,0,1,43525
215,0,1,11,17,1,1,39891
216,0,1,11,17,1,1,56642
217,0,1,9,14,1,0,60150
218,0,0,9,15,0,0,54445
219,0,0,9,15,0,0,64445
220,1,0,9,14,0,0,57189
221,0,NA,9,16,0,1,63218
222,0,0,9,15,0,0,55794
223,0,1,10,16,1,1,56957
224,0,1,10,16,0,1,57081
225,1,1,10,16,0,1,61111
226,0,0,10,15,1,0,67938
227,0,1,10,15,1,0,66029
228,0,1,10,17,1,1,83088
229,0,1,10,16,1,1,81363
230,0,0,10,17,0,1,93940
231,0,NA,10,16,NA,1,NA
232,0,0,10,15,0,0,98273
233,1,1,9,14,0,0,101302
234,0,0,9,15,0,0,113812
235,0,1,9,16,0,1,109431
236,0,1,9,15,0,0,105582
237,0,1,9,15,0,0,116969
238,0,1,9,15,0,0,112635
239,0,0,9,15,1,0,122391
240,0,1,9,15,0,0,121872
241,1,1,9,14,1,0,39343
242,1,1,9,15,1,0,46205
243,1,0,9,14,1,0,37731
244,1,1,9,16,1,1,43525
245,0,0,9,15,0,0,39891
246,1,1,10,15,1,0,56642
247,0,1,11,17,1,1,60150
248,1,1,11,16,1,1,54445
249,0,1,12,17,1,1,64445
250,0,0,11,17,0,1,57189
251,1,1,12,18,1,1,63218
252,1,1,11,17,1,1,55794
253,0,1,10,15,1,0,56957
254,0,0,9,15,1,0,57081
255,0,0,9,15,0,0,61111
256,1,1,9,14,1,0,67938
257,0,0,12,17,NA,1,66029
258,0,0,12,17,0,1,83088
259,0,0,11,17,1,1,81363
260,0,1,12,17,0,1,93940
261,1,NA,12,18,0,1,91738
262,1,NA,12,18,1,1,98273
263,0,1,12,18,0,1,101302
264,1,1,12,18,1,1,113812
265,0,1,12,17,1,1,109431
266,0,1,12,17,0,1,105582
267,0,1,12,18,0,1,116969
268,1,0,12,17,0,1,112635
269,0,1,12,17,1,1,122391
270,0,0,12,17,1,1,121872
271,0,NA,12,17,1,1,39343
272,0,0,11,16,0,1,46205
273,0,1,11,17,0,1,37731
274,1,1,11,16,1,1,43525
275,0,1,11,16,1,1,39891
276,0,0,11,16,0,1,56642
277,1,0,11,16,0,1,60150
278,0,1,11,17,0,1,54445
279,1,1,11,17,0,1,64445
280,0,0,11,16,0,1,57189
281,0,0,11,16,1,1,63218
282,0,0,11,16,1,1,55794
283,0,0,9,14,0,0,56957
284,0,0,9,14,NA,0,57081
285,1,1,9,14,1,0,61111
286,0,0,9,14,0,0,67938
287,0,0,9,14,0,0,66029
288,0,0,9,15,0,0,83088
289,0,0,9,14,0,0,81363
290,0,0,9,14,0,0,93940
291,0,0,9,15,0,0,91738
292,0,0,9,14,0,0,98273
293,0,0,9,14,0,0,101302
294,0,0,9,14,0,0,113812
295,0,1,9,14,0,0,109431
296,0,0,9,15,0,0,105582
297,1,1,9,16,1,1,116969
298,0,1,10,15,1,0,112635
299,0,1,10,15,1,0,122391
300,0,1,10,15,0,0,121872
301,0,0,10,15,0,0,122380
302,0,0,10,15,1,0,125372
303,1,1,10,15,1,0,128364
304,0,0,10,15,1,0,131356
305,0,0,10,15,0,0,134349
306,0,1,10,16,0,1,137341
307,0,0,10,15,0,0,140333
308,1,1,11,18,1,1,143325
309,1,1,10,16,1,1,146317
310,0,NA,9,15,1,0,149309
311,0,NA,10,15,1,0,152301
312,0,NA,9,15,1,0,155293
313,1,NA,9,15,NA,0,158285
314,0,NA,10,16,1,1,90547
315,0,NA,9,15,NA,0,90623
316,0,NA,9,15,1,0,90698
317,0,NA,9,15,1,0,90774
318,0,NA,9,14,NA,0,90850
319,0,NA,10,16,1,1,90925
320,0,NA,9,14,NA,0,91001
321,0,NA,9,15,NA,0,91077
322,0,NA,9,15,1,0,91152
323,0,NA,9,15,NA,0,91228
324,0,NA,9,15,1,0,91303
325,0,NA,9,15,1,0,91379
326,0,NA,9,14,1,0,91455
327,0,1,10,16,1,1,91530
328,0,NA,9,15,1,0,91606
329,0,NA,9,15,1,0,91681
330,0,1,9,14,1,0,91757
331,1,1,9,15,1,0,91833
332,0,NA,9,16,1,1,91908
333,0,NA,9,14,1,0,91984
334,0,NA,9,15,1,0,92060
335,0,NA,11,15,1,0,92135
336,0,NA,9,14,1,0,92211
337,0,NA,12,18,1,1,92286
338,0,NA,12,18,1,1,92362
339,0,NA,12,17,1,1,92438
340,0,NA,12,17,1,1,92513
341,1,NA,12,17,NA,1,92589
342,0,NA,12,17,1,1,92665
343,0,NA,12,18,1,1,92740
344,0,NA,12,18,1,1,92816
345,1,NA,12,18,NA,1,92891
346,1,NA,12,18,NA,1,92967
347,0,NA,12,17,1,1,93043
348,0,NA,12,18,1,1,93118
349,0,NA,12,18,1,1,93194
350,0,NA,12,17,NA,1,93270
351,0,NA,12,18,NA,1,93345
352,0,NA,12,17,1,1,93421
353,0,NA,12,18,NA,1,93496
354,0,NA,12,18,1,1,93572
355,0,NA,12,18,1,1,93648
356,1,NA,12,17,NA,1,93723
357,0,NA,12,17,1,1,93799
358,0,NA,12,17,1,1,93874
359,0,NA,12,18,1,1,93950
360,0,NA,12,18,NA,1,94026
361,1,NA,12,18,1,1,94101
362,0,NA,12,17,1,1,94177
363,1,NA,12,18,NA,1,94253
364,0,NA,NA,18,NA,1,94328
365,0,NA,12,18,NA,1,94404
366,0,NA,11,16,NA,1,94479
367,0,NA,10,15,1,0,94555
368,0,NA,10,16,1,1,94631
369,0,NA,10,16,1,1,94706
370,0,1,10,15,1,0,94782
371,0,NA,10,16,NA,1,94858
372,0,NA,10,15,NA,0,94933
373,0,NA,10,17,1,1,95009
374,0,NA,10,16,1,1,95084
375,0,NA,NA,NA,1,NA,95160
376,0,NA,10,16,NA,1,95236
377,0,1,11,16,1,1,95311
378,0,1,12,18,1,1,95387
379,0,NA,11,18,1,1,95463
380,0,NA,12,18,NA,1,95538
381,0,1,11,17,1,1,95614
382,0,NA,10,16,NA,1,95689
383,0,NA,10,16,NA,1,95765
384,0,NA,11,17,1,1,95841
385,0,NA,11,17,1,1,95916
386,0,NA,11,17,NA,1,95992
387,0,NA,11,17,1,1,96067
388,0,NA,12,16,1,1,96143
389,0,NA,11,17,NA,1,96219
390,0,NA,11,17,1,1,96294
391,0,NA,11,16,1,1,96370
392,0,NA,11,17,1,1,96446
393,1,NA,11,17,1,1,96521
394,0,NA,11,17,1,1,96597
395,0,NA,NA,17,1,1,96672
396,0,NA,11,15,1,0,96748
397,0,NA,11,17,1,1,96824
398,0,NA,11,17,1,1,96899
399,0,NA,11,16,1,1,96975
400,0,NA,11,17,1,1,97051
401,0,NA,11,17,1,1,97126
402,0,NA,11,15,1,0,97202
403,0,NA,11,17,1,1,97277
404,0,NA,11,17,1,1,97353
405,0,NA,11,17,1,1,97429
406,0,NA,11,17,1,1,97504
407,0,NA,11,17,1,1,97580
408,0,NA,11,16,NA,1,97655
409,0,0,9,14,1,0,97731
410,0,0,9,15,0,0,97807
411,1,1,9,15,1,0,97882
412,0,0,9,16,0,1,97958
413,1,0,9,15,1,0,98034
414,0,0,9,15,0,0,98109
415,1,0,9,14,0,0,98185
416,0,NA,9,15,1,0,98260
417,0,1,9,15,1,0,98336
418,1,0,9,16,0,1,98412
419,0,0,9,15,0,0,98487
420,1,1,9,14,1,0,98563
421,0,0,9,14,NA,0,98639
422,0,0,9,15,0,0,98714
423,1,1,9,14,1,0,98790
424,1,1,9,14,1,0,98865
425,1,0,9,15,0,0,98941
426,0,0,9,14,0,0,99017
427,1,1,9,15,1,0,99092
428,0,1,9,15,0,0,99168
429,1,0,9,15,1,0,99244
430,0,1,9,15,0,0,99319
431,1,1,9,15,1,0,99395
432,0,1,9,15,1,0,99470
433,1,1,9,15,0,0,99546
434,1,1,10,16,1,1,99622
435,1,1,10,15,1,0,99697
436,0,0,10,16,1,1,99773
437,0,0,10,15,0,0,99848
438,0,0,10,16,0,1,99924
439,0,0,10,16,0,1,100000
440,0,0,10,16,1,1,100075
441,1,1,10,16,1,1,100151
442,1,1,10,15,1,0,100227
443,1,1,10,16,0,1,100302
444,0,0,11,17,1,1,100378
445,1,1,10,16,1,1,100453
446,1,0,10,16,1,1,100529
447,0,1,10,16,0,1,100605
448,0,0,10,15,0,0,100680
449,0,1,10,16,0,1,100756
450,0,0,10,16,1,1,100832
451,0,1,10,15,0,0,100907
452,1,1,10,15,1,0,100983
453,1,1,10,16,1,1,101058
454,0,1,11,16,0,1,101134
455,0,1,11,16,0,1,101210
456,0,1,11,18,1,1,101285
457,0,1,11,16,1,1,101361
458,0,0,11,17,1,1,101436
459,0,0,11,17,0,1,101512
460,0,1,12,18,1,1,101588
461,1,0,11,16,1,1,101663
462,0,0,11,17,NA,1,101739
463,0,0,11,17,0,1,101815
464,0,0,11,17,0,1,101890
465,1,1,11,17,1,1,101966
466,1,1,11,17,1,1,102041
467,0,0,11,16,1,1,102117
468,0,1,12,18,1,1,102193
469,0,0,11,18,1,1,102268
470,0,1,11,17,0,1,102344
471,0,0,12,18,1,1,102420
472,0,1,11,17,1,1,102495
473,1,0,10,15,1,0,102571
474,0,1,12,18,1,1,102646
475,1,1,11,17,1,1,102722
476,0,1,12,17,1,1,102798
477,0,1,11,16,1,1,102873
478,1,1,12,18,0,1,102949
479,1,0,12,18,1,1,103025
480,0,1,11,16,0,1,103100
481,0,0,12,18,1,1,103176
482,0,0,12,17,1,1,103251
483,1,1,12,18,1,1,103327
484,1,1,11,17,1,1,103403
485,0,1,12,18,1,1,103478
486,1,1,12,18,1,1,103554
487,1,NA,11,17,NA,1,103629
488,0,0,12,17,1,1,103705
489,1,1,12,17,NA,1,103781
490,0,0,12,18,0,1,103856
491,0,0,11,17,1,1,103932
492,1,0,11,16,1,1,104008
493,1,1,12,17,1,1,104083
494,0,1,11,18,1,1,104159
495,0,1,11,17,0,1,104234
496,0,1,11,16,0,1,104310
497,0,0,11,17,1,1,104386
498,1,1,11,17,1,1,104461
499,0,1,11,16,1,1,104537
500,0,0,11,16,1,1,104613
501,0,1,11,17,1,1,104688
502,0,1,11,18,1,1,104764
503,0,1,11,17,1,1,104839
504,0,0,11,17,1,1,104915
505,0,1,11,16,1,1,104991
506,0,1,12,18,1,1,105066
507,0,1,12,18,0,1,105142
508,1,1,12,18,1,1,105217
509,1,1,12,17,1,1,105293
510,0,1,12,18,0,1,105369
511,0,1,12,18,1,1,105444
512,0,1,12,18,1,1,105520
513,0,1,12,18,1,1,105596
514,0,1,12,18,1,1,105671
515,0,1,12,18,1,1,105747
516,0,1,12,17,1,1,105822
517,0,1,12,18,1,1,105898
518,0,1,12,17,1,1,105974
519,1,0,12,16,1,1,106049
520,1,1,12,18,1,1,106125
521,1,1,12,18,1,1,106201
522,1,1,12,17,1,1,106276
523,0,1,11,17,1,1,106352
524,1,0,10,15,1,0,106427
525,0,1,10,15,1,0,106503
526,1,1,10,17,1,1,106579
527,1,0,10,16,0,1,106654
528,1,0,9,14,1,0,106730
529,0,0,9,15,0,0,106806
530,1,0,9,14,1,0,106881
531,0,0,9,14,0,0,106957
532,1,0,9,15,1,0,107032
533,0,0,9,15,0,0,107108
534,0,0,9,14,0,0,107184
535,0,0,9,14,0,0,107259
536,0,1,NA,NA,1,NA,107335
537,1,0,9,15,1,0,107410
538,1,0,9,14,0,0,107486
539,0,0,9,15,0,0,107562
540,0,0,9,14,0,0,107637
541,0,0,9,15,NA,0,107713
542,0,1,9,16,1,1,107789
543,0,1,9,15,0,0,107864
544,0,0,9,14,1,0,107940
545,1,1,9,15,0,0,108015
546,0,0,9,15,0,0,108091
547,0,0,9,14,1,0,108167
548,0,0,9,15,1,0,108242
549,0,1,9,15,1,0,108318
550,1,1,9,15,1,0,108394
551,0,0,10,16,0,1,108469
552,0,0,9,14,1,0,108545
553,0,1,10,15,0,0,108620
554,1,0,12,17,0,1,108696
555,0,1,12,17,0,1,108772
556,0,1,12,18,1,1,108847
557,0,1,12,17,1,1,108923
558,1,1,12,18,1,1,108999
559,0,1,12,17,1,1,109074
560,0,1,12,18,1,1,109150
561,0,1,12,17,1,1,109225
562,0,0,12,18,0,1,109301
563,0,0,12,18,1,1,109377
564,0,1,12,17,1,1,109452
565,0,1,12,18,0,1,109528
566,0,1,12,18,0,1,109603
567,0,1,12,17,0,1,109679
568,0,0,12,18,0,1,109755
569,0,1,12,18,1,1,109830
570,0,1,12,18,0,1,109906
571,0,1,11,17,1,1,109982
572,0,1,12,17,0,1,110057
573,1,1,11,17,1,1,110133
574,0,NA,12,17,0,1,110208
575,0,1,12,18,1,1,110284
576,0,1,12,18,0,1,110360
577,0,1,12,18,1,1,110435
578,0,1,12,17,0,1,110511
579,0,0,12,17,0,1,110587
580,0,1,12,17,0,1,110662
581,0,1,12,17,1,1,110738
582,0,0,12,18,0,1,110813
583,0,0,12,17,0,1,110889
584,0,1,11,17,0,1,110965
585,0,1,11,17,0,1,111040
586,0,0,12,17,1,1,111116
587,0,0,11,17,0,1,111191
588,0,1,11,16,1,1,111267
589,0,0,11,17,1,1,111343
590,0,0,11,16,0,1,111418
591,0,1,11,16,1,1,111494
592,0,0,11,16,0,1,111570
593,0,1,11,16,0,1,111645
594,0,1,11,17,0,1,111721
595,1,1,11,17,0,1,111796
596,1,1,11,17,0,1,111872
597,0,1,11,16,0,1,111948
598,0,1,11,17,1,1,112023
599,1,1,11,17,1,1,112099
600,0,1,11,16,1,1,112175
601,1,1,11,17,1,1,112250
602,1,1,11,17,1,1,112326
603,0,1,11,16,NA,1,112401
604,0,1,11,16,0,1,112477
605,1,NA,11,17,1,1,112553
606,0,0,11,17,0,1,112628
607,0,1,11,16,1,1,112704
608,0,0,11,16,0,1,112780
609,0,1,11,16,1,1,112855
610,0,1,11,17,1,1,112931
611,0,1,11,16,1,1,113006
612,1,1,11,17,1,1,113082
613,0,1,10,16,0,1,113158
614,0,NA,10,15,1,0,113233
615,0,0,11,16,1,1,113309
616,0,1,10,17,1,1,113384
617,0,1,12,18,0,1,113460
618,0,1,10,15,0,0,113536
619,0,NA,10,15,0,0,113611
620,0,0,10,15,0,0,113687
621,0,0,11,16,1,1,113763
622,0,1,10,15,0,0,113838
623,0,1,10,16,1,1,113914
624,1,1,10,16,1,1,113989
625,1,1,10,16,1,1,114065
626,0,0,11,18,1,1,114141
627,0,1,10,15,0,0,114216
628,0,1,10,15,0,0,114292
629,0,0,10,15,1,0,114368
630,0,1,10,15,1,0,114443
631,0,0,10,15,0,0,114519
632,0,1,10,15,0,0,114594
633,0,1,10,15,0,0,114670
634,0,1,10,15,0,0,114746
635,0,1,10,16,1,1,114821
636,0,0,10,16,0,1,114897
637,0,0,10,16,0,1,114972
638,0,0,9,14,0,0,115048
639,0,1,9,15,1,0,115124
640,0,1,9,15,1,0,115199
641,0,1,9,16,0,1,115275
642,0,0,9,14,0,0,115351
643,0,0,9,15,0,0,115426
644,0,1,9,15,0,0,115502
645,0,1,10,16,1,1,115577
646,1,1,9,15,1,0,115653
647,0,0,9,14,0,0,115729
648,0,0,9,15,0,0,115804
649,0,1,9,15,1,0,115880
650,0,1,10,17,1,1,115956
651,1,1,10,15,1,0,116031
652,0,0,9,15,1,0,116107
653,0,1,9,16,1,1,116182
654,0,0,9,14,0,0,116258
655,1,1,9,15,0,0,116334
656,0,0,10,16,0,1,116409
657,0,0,10,16,0,1,116485
658,0,0,10,16,0,1,116561
659,0,0,10,15,0,0,116636
660,1,1,10,16,0,1,116712
661,0,0,10,16,0,1,116787
662,0,0,10,16,0,1,116863
663,0,0,10,16,0,1,116939
664,0,0,10,15,1,0,117014
665,1,0,10,16,1,1,117090
666,0,1,10,16,0,1,117165
667,0,0,10,16,0,1,117241
668,0,0,10,16,0,1,117317
669,0,1,10,16,1,1,117392
670,0,0,10,16,0,1,117468
671,0,1,11,16,1,1,117544
672,0,0,10,16,0,1,117619
673,1,0,10,15,1,0,117695
674,1,1,10,15,0,0,117770
675,0,0,10,15,0,0,117846
676,1,0,10,16,0,1,117922
677,0,0,10,15,0,0,117997
678,0,1,11,18,1,1,118073
679,0,1,11,16,0,1,118149
680,0,1,11,18,1,1,118224
681,1,1,11,16,1,1,118300
682,0,0,11,17,1,1,118375
683,0,1,11,16,0,1,118451
684,1,1,11,16,1,1,118527
685,1,1,11,16,1,1,118602
686,0,1,11,16,1,1,118678
687,0,0,11,17,0,1,118753
688,0,1,12,17,1,1,118829
689,1,1,11,16,1,1,118905
690,0,0,11,16,0,1,118980
691,0,0,11,17,0,1,119056
692,0,0,11,16,0,1,119132
693,0,1,11,16,0,1,119207
694,0,0,11,16,0,1,119283
695,1,1,11,16,0,1,119358
696,1,1,11,17,1,1,119434
697,0,1,11,17,1,1,119510
698,0,1,11,16,1,1,119585
699,0,1,11,16,0,1,119661
700,0,NA,12,18,1,1,119737
701,0,1,12,18,0,1,119812
702,0,0,12,18,1,1,119888
703,0,1,12,17,1,1,119963
704,1,0,12,18,1,1,120039
705,0,1,12,17,0,1,120115
706,0,1,12,18,0,1,120190
707,0,1,12,18,1,1,120266
708,1,1,12,18,NA,1,120342
709,0,1,12,18,1,1,120417
710,0,1,12,18,1,1,120493
711,0,1,12,18,1,1,120568
712,0,1,12,18,0,1,120644
713,1,1,12,18,1,1,120720
714,0,1,12,18,1,1,120795
715,0,1,12,17,1,1,120871
716,0,0,12,17,0,1,120946
717,1,1,12,17,1,1,121022
718,1,1,12,18,1,1,121098
719,0,1,12,18,1,1,121173
720,1,1,12,18,1,1,121249
721,1,NA,9,14,0,0,121325
722,0,0,9,15,1,0,121400
723,0,0,9,14,0,0,121476
724,0,0,9,14,0,0,121551
725,0,0,9,15,0,0,121627
726,0,0,9,15,0,0,121703
727,0,0,9,15,0,0,121778
728,0,0,9,14,0,0,121854
729,0,0,9,15,1,0,121930
730,1,0,9,14,0,0,122005
731,0,0,9,16,1,1,122081
732,0,0,9,15,1,0,122156
733,0,1,9,15,1,0,122232
734,0,0,9,15,0,0,122308
735,1,1,10,16,1,1,122383
736,1,0,9,14,1,0,122459
737,0,0,9,14,0,0,122534
738,0,1,9,15,1,0,122610
739,0,1,9,14,0,0,122686
740,0,1,9,16,1,1,122761
741,1,1,9,15,1,0,122837
742,0,1,12,17,1,1,122913
743,0,1,11,16,1,1,122988
744,0,0,12,18,1,1,123064
745,0,1,11,17,0,1,123139
746,1,0,11,16,1,1,123215
747,0,NA,12,18,NA,1,123291
748,1,1,10,15,0,0,123366
749,0,1,12,18,0,1,123442
750,0,0,10,16,0,1,123518
751,0,1,11,17,1,1,123593
752,0,1,11,18,0,1,123669
753,1,NA,11,17,1,1,123744
754,1,1,NA,18,1,1,123820
755,0,0,11,18,0,1,123896
756,1,NA,12,18,0,1,123971
757,0,0,11,17,0,1,124047
758,1,1,12,18,1,1,124123
759,1,1,12,18,1,1,124198
760,1,1,10,16,1,1,124274
761,0,1,11,16,0,1,124349
762,0,1,12,18,0,1,124425
763,0,0,11,16,1,1,124501
764,0,1,11,16,1,1,124576
765,1,1,11,17,1,1,124652
766,0,NA,11,18,0,1,124727
767,0,0,9,15,0,0,124803
768,1,0,11,16,0,1,124879
769,0,1,11,17,0,1,124954
770,0,1,12,18,1,1,125030
771,0,1,10,16,0,1,125106
772,1,0,NA,NA,1,NA,125181
773,0,0,11,16,1,1,125257
774,1,1,11,16,1,1,125332
775,0,1,11,16,NA,1,125408
776,1,1,11,16,0,1,125484
777,1,0,11,16,1,1,125559
778,1,1,11,16,1,1,125635
779,0,NA,12,18,0,1,125711
780,1,1,11,17,1,1,125786
781,0,1,12,17,1,1,125862
782,0,1,12,18,1,1,125937
783,0,1,12,17,1,1,126013
784,1,0,10,16,0,1,126089
785,1,1,12,17,1,1,126164
786,0,0,11,16,1,1,126240
787,0,1,12,18,1,1,126316
788,0,1,11,16,1,1,126391
789,1,NA,12,18,1,1,126467
790,1,1,11,16,0,1,126542
791,0,1,10,15,1,0,126618
792,1,1,11,16,1,1,126694
793,0,0,12,18,0,1,126769
794,0,1,12,18,NA,1,126845
795,0,1,12,17,1,1,126920
796,1,1,11,16,1,1,126996
797,1,1,11,16,1,1,127072
798,0,1,11,17,1,1,127147
799,0,0,12,18,1,1,127223
800,1,1,12,17,1,1,127299
801,0,0,12,17,1,1,127374
802,1,1,12,18,1,1,127450
803,1,1,11,16,1,1,127525
804,1,1,12,18,0,1,127601
805,0,1,12,18,1,1,127677
806,1,1,11,16,1,1,127752
807,0,1,11,16,1,1,127828
808,1,1,10,15,1,0,127904
